Id	EssayText
14050	The first way cells control the movement of substance is by waste removal wich will allow the substance to leave the body.  The second way is by mRNA which allows the cell to grab hold of it and release it to the waste. The third way is by letting it be filtered while it goes through the body.
14051	1.)Diffusion is something moving arcoss the surface of the cell membrane and then entering the cell, it requires little energy.2.)Theres also spots were things can get through the cell, but it requires more energy then diffusion.3.)And the cell can just allow something in side it.
14052	1.)  It use's the energy from the membrane                                 2.) It use's the light from the membrane3.) It use's the food from the membrane to makeit there and sometimes back to the spot it came from. It only makes the trip maybe three times.
14053	They use the a chemical proccess of enzymes, the membrain also, and through channels in the membrain.
14054	Three processes that cells use to control movement across the cell membrane are proteins, phospholipids, and vesicles. The substances hook on to the protein and are transfered into the cell. With phospholipids, the substance is absorbed and goes through the membrane into the cell. Vesicles form around the substance and carry it into the cell.
14055	The cell wall blocks and keeps substances from crossing into the membrane
14056	Osmosis-the act of transporting water through a selectively permeable membrane.  Active transport-the forced movement of a nutrient or mineral through the cell by pores on the cell membrane.
14057	Cells use ribosomes, mitochondria, and lysosomes to move substances across the cell. Ribosomes carry out protiens. Mitchondria are the powerhouse and provide energy. Lysosomes, which come from the Golgi apparatus, carry out sugars.
14058	Diffusion- The cell transports the material across the cell membrane so the concentration is equal on both sides.Osmosis- The transportation of water across the cell membrane.
14059	Cell Resperation
14060	The cell uses three processes. These three processes are pushing, where the cell pushes the substance crossing the membrane. The second process that a cell uses is carrying the substance across the membrane, and the third one is steering, where the cell steers the substance in order for it not to crash.
14061	movement- helps the membrane move. resirpation- helpts it eat and drink.walk- help it move also.
14062	Some cells use diffusion, in which matter moves from an aea of higher concentraion to  an area of lower concentration. Cells also use osmosis, where water moves froman area of lower concentration to an rea of high concentration. Thirdly, the use active transport in which the cell uses it's own energy to move nurients through its membrane.
14063	cytoplasm-jello like solution that is there for them cell to swim through.flagella-has a tail that helps move them throughout the membrane.cilia-moves cell.
14064	Meosis, is one way that cells move substances. Mitosis is another way that cells move substances. The last way that a cell moves substances is telephase.
14065	it can be moved by mrna,trna,and cells
14066	MITOSIS , PROPHASE,AND METAPHASE
14067	Osmosis, Mitosis, diffusion, the movement of water in and out of the cell
14068	electric currents through the spinal cord going directly to the brain.
14069	Cells use osmosis, active transport, and facilitated transport to control the movement of substances across the cell membrane. Osmosis occurs when water and other materials move from an area of high concentration to an area of low concentration. Active transport occurs when materials are brought into and out of the cell using the cell's energy. Facilitated transport occurs when materials are brought into and out of the cell using a mixture of energy from the cell and energy from the products.
14070	the cell wallgolgi
14071	to keep you aliveto fight off of infectionsto close up a cut in your skin so you dont bleed to death
14072	diffusion, osmosis, and
14073	enrgy,cells and
14074	The cell could not move very fast. The cell could not be able to move at all.The cell could move across the cell membrane.
14075	Three processes used by cells to control movement across the cell membrane are, first, osmosis in which water moves in and out of the cell through the membrane. Second,
14076	ProtiensGolgie apparatusEnzymes
14077	1-nucleus  2-cell wall 3-the microondran
14078	Cell wall- only lets some stuff throughgolgi aparatus- controls waste
14079	tRNAmRNArRna
14080	Cells choose what to let in.
14081	Diffusion of a substance with in a cell.
14082	Passive TransportActive TransoprtDiffusion
14083	MOVE
14084	The cells control movment by blood flow, the size of the cell, and the movement of the cell.
14085	Diffusion is the movement of water over cells. Meiosis is the process in which a substance moves over cell membrane for a short period of time. Mitosis is the process in which water or another substance is moved over a membrane for a long period of  time.
14086	The cell membrane only lets certain things across  the membrane. Osmosis has a permeable layer that allows only certain things across the membrane.The golgi apparatus packages and moves substances across the cell.
14087	Three processes are:1. mitochondrian- 2. lysosomes-3.
14088	Felgella.
14089	Three processes to control the movement of substances across the cell membrane are the nucleus, flagellum and ribosomes.
14090	To get food the nucleas. To get shape is the cell wall. Also to reproduce they die off.
14091	Osmosis allows water in to the cell membrane, Reverse osmosis brings water out, and...
14092	The cell membrane is on example of an organelle that controls the movement of substances by having a permeable membrane which decides whether something can enter or leave the cell.Also diffusion is when something is transferred in this case in the cell. The cell uses diffusion to gain things that are necessary for the cell to live. Also the last is osmosis which is diffusion in water. This helps water enter and leave the cell helping th ecell to regulate their processes.
14093	Diffusion, osmosis, transfusion
14094	One way is the golgi apparatus, another is mitochondria, and the third is mRNA.
14095	They use diffusion which they use cells along the membrane to detect things crossing the membrane, they use osmosis which is the crossing of water over the membrane and they use their mitochondria which move waste out of the cell.
14096	The Ion Channel is one of the three, it allows ions to pass through the cell membrane.The Sodium-Potaseum pump is the second of the three.
14097	they are passed through various organelles.
14098	DNA translated to RNA translated to protiens.
14099	cell use of the process called photosynthesis. a process which the cell gets its food from.cells also use the process with the help of mitochondria, so they recieve energy.
14100	they help them movethe are a celll in a membraneand they control the movement of substances.
14101	diffussion is random movement across a cell membrane.
14102	First The organism takes in the food, Then it breaks it down, Finall decomposure takes place.
14103	proteins and sugars
14104	First the cell can move water across the cell by using osmosis.  The cell can also use a process caled respiration which is when the cell moves oxygen across it. And the third is waste removal.
14105	One cell controls the movement.one cell controls figella.One cell the celius moves the cell.
14106	the cell wall only lets in the good things.the cell membrane helps the other parts of the cell.dna  also go though the cell membrane to get checked out for rna.
14107	Three processes used by celss to control the movement of substances across the cell membrane are osmosis, passive, and assertive. These help to move different things across a cell. Osmosis moves only water across a cell membrane. Passive uses no energy to move proteins across a cell membrane. Assertive uses energy to move proteins acorss a cell membrane.
14108	1. they start from one part of the body and move too the given area they need2. mRNA3. tRNA
14109	One way to control the movement of substances across the cell membrane is prophase, menaphese, and telephase.
14110	osmosis the movement of waterDiffusion the movements of particles from high to lowactive transport is when the cell uses energy to open and close and allow certain particles in and out
14111	active transport- movement of proteins
14112	Their is a cell wall for plants to protect them selves from bieng hurt.The cell memabrane controls what enters and exit the cell at all times.The nucleuse tells how the cell to function, so it controls the cell membrane and tells it what can enter and what cant.
14113	When molecules are added to a cell, they grow wider. This process is called hypotonic. When molecules leave the cell, this is called hypertonic. And when molecules pass through a barrier in the cell, this is called osmosis.
14114	some process' can be used to move the substances across the cell membrane. one is the funtion of the cell two is the cells cytoplasm and three can be used for the making of the cell that makes the cell come alive and make everything happen
14115	One of the three proccesses is when the cells travel through the blood flow.
14116	One process is the use of the flagellum. It is used like a whip to move things from one place to the other. Another process is the cell puts a protien in a bubble like structure to move it through the cytoplasm. Also, a cell uses a protien to move things around.
14117	Difusion movement of particles across a membrane.Osmosis movement of water across a membrane.Fucilited diffusion movement of large particles across a membrane with help from proteins.
14118	InterphaseProphaseTelophase
14119	Diffusion, osmosis. and
14120	To control the movement of substances across the cell membrane flagellum, cilium, and carrier proteins are used. Flagellum are long, whip-like structures used for movement. Cilium are short, hair-like structures. Carrier proteins are also often used.
14121	Flagellas is a tail that allows the cell to 'swim' around. Slime allows cells to move around. And little tenticles on outside of cell to help swim around.
14122	The membrane just let the thing that has to go out out and the stuff that has to get in get in.
14123	reconizing the celllets out emzymes to attack
14124	The cell membrain is used to let things in and out of the cell. the nucleus is the brain of the cell and controlls where it goes. The genes inside of the cell can tell where each cell go.
14125	Diffusion, movement from high to low concentration.  Facilitated Diffusion, energy and protein is moved from low to high concentration.  Osmosis, is the movement of water through the cell membrane.
14126	Umm...convection currents. And
14127	RIBOSOMES, CHLORAPLAST, CELL WALL.
14128	they can put stuff in the flow of the blood streem for easier movment.they can fight off bad substances to make the movment more smooth.they can use some substances to make scabs if nessecary.
14129	The cells have channels, the cell wall controls what can come in and what can go out. The channels take the subtances to different parts of the cell.
14130	1.) They confront it to see if its a bad substance or a good one.2.) If its bad they willl destroy it.3.)If its a good substance it will adapt to it.
14131	selective entering, only certain things can get in the cell, open entry, where anything can come in it
14132	deffisonosmosis
14133	bloodnervescell tissue
14134	The three process of DNA are mRNA, tRNA, and gRNA.
14135	MITOCHONDRINE FLAGELLA
14136	photosynthesis reproductionprotection
14137	Osmosis: this process lets water based substances flow through the membrane of the cell.Diffusion: this process lets substances go throught the cell membrane.Meosis: this process opens up a part of the cell membrane to let bigger substances go though the cell membrane.
14138	mitosis. The cell splits up to a sister, as they call it.miosis. The sister chromatid grows
14139	Cells use passive transport through methods of diffusiion and osmosis, and also have the abilirty to use active transport with functions such as exo/endocytosis and sodium potassium pumps.
14140	Selective permiablity, which lets only certain things pass, like a window screenendocytosis, brings in certain substances by opening the plasma membrane and absorbing themexocytosis, uses the same process as endocytosis except its removing substances from the cell
14141	There are many processes that control the movement of substances across the cell membrane, but three of the processes are, the movement through the cell's selectively permeable membrane, the movement of waste products by the lysosmes, and the excretion of protiens for the use of the rest of the body.
14142	The cell membrane is used to protect the cell. The cell wall is used to block any harmful things out.
14143	One process cells use to control the movement of substances across the area is osmosis.  Osmosis is when a substance passes through water to move from a higher concentration gradient to a lower concentration gradient.  A second process used to help control the movement is diffusion.  Diffusion is the movement from a higher concentration gradient to a lower concentration gradient.  A third process to help control movement is facilitated diffusion where particles are used to help the movement from the high to low concentration gradients.
14144	The processes are active transport, diffusion, and passive transport.
14145	Cell wall is the first form of protection for the cell which controls what comes in and goes out of the cell. The second peice of protection is the cell membranewhich also helps filture the things coming and going.
14146	1. mitosis2. meiosis3. reproduction
14147	One process is osmosis, which helps moves water in and out of the cell. Another process would be going through the protein channels, this moves things in and out of the cell. A third process would be isomosis.
14148	One process used by cells to control the movement of substances across the cell membrane is osmosis. Cells use osmosis to either gain or get rid of water by passing it across the cell membrane.      Another process used by cells is cellular diffusion. This is like osmosis, it is the process of substances moving from an area of high concentration, to an area of low concentration.
14149	Cells use the process called diffusion.  Diffusion is used to move the substances across the cell.Osmosis is used to move water across the cell. Translation occurs to move substances.  Transciption also moves the substances across the cell membrane.
14150	The cell membrane controls what goes in and what goes out of the cell. Sometimes there are spaces in the membrane allowing tiny things to get through it.
14151	Every cell from a cell.
14152	The cell membrane can only let certain things in and out of the cells
14153	1.REPRODUCTION2.MOVEMENT3.ENERGY
14154	The first process is miosis.The second is
14155	it pushes unwanted waste out
14156	1: They have the same functions2:
14157	the selective permeibility of the cell lets some things in and out but not others
14158	cells can move by tRNA
14159	MIOSIS-
14160	SOME HAD TAILS THAT THEY USED TO MOVE.  THEY WERE ALIVE, SO THEY COULD MOVE.  THEY COMBINED WITH EACHOTHER TA MAKE A BIGGER CELL.
14161	The cell uses a process called osmis to mave water across the membrane.Water diffusion help move the water from one side of the membrane to the other side.
14162	Flagellum- a tail like structure used to 'swim' around.Cilia- hair-like structures that whip around providing movement.Another one is where the organism extends out sections of it's cell membrane and fills it with cytoplasm while the opposite end goes away and it moves by a crawling type movement.
14163	Cells use many types of transport to move substances across the cell membrane. Active Transport is a process used where the cell uses energy and transport proteins to move substances in and out of the cell. Osmosis diffuses water molecules into the cell across the cell membrane. And finally, passive transport requires no energy and moves with the concentration gradient to move substances across the cell membrane via transport proteins.
14164	ANAPHASETELOPHASEMETOPHASE
14165	1.nucleus2.michrocondria3.
14166	The nucleus is the one that tells the other cell parts what to do. So it gives the order then the ribosomes transport the substance out of the nucleus.
14167	The cell uses the nucleus to move. The cell uses the mitochondria to move substances. The cell uses the reticulums to move substances also.
14168	-Diffusion.     -Osmosis.
14169	movement move the cell to its destination growth gets bigger for more length speed is the main priority to get to its destination
14170	they control regulation by having little holes that let substances through substance that are to big are not aloud through
14171	Osmosis= the movement of water through a cellDiffusion= the movement of molecules through the cellPassive Transport= the movement of particles through a body without using energy
14172	They control the movement of substances across the cell membrane by
14173	the cells control the movement of substances across the cell membrane because they control the blodd flow.
14174	reproduction,
14175	Translation carries the substances on the mRNA to the tRNA.Transcription moves the substances on the tRNA to the rRNA where they are moved to the Ribosome.
14176	prophase, anaphase and telophase
14177	The cell uses the flagellum to move easier the move easier throught the cell. The cell also uses it cell wall in order to keep the substances in the cell. The third process the cell uses is its nucleus to control the cell.
14178	1. Active transport is a process that requires energy because it moves substances against their concentration gradient.2. Simple diffusion is a type of passive transport that moves substances down their concentration gradient. This process requires no energy.3. Facilitated diffusion is a type of passive transport that uses protein to move substances across the cell membrane. No energy is required for this process.
14179	1. Mitochondrion2. Cytoplasm3. Nucleus
14180	One process used by cells to contol movement is osmosis. Osmosis is the controlled amount of water that goes through the membrane of the cell. Another process is diffusion. Diffusion is the process by which substances move accross the membrane. This monitors the substances that go through the semi-permeable membrane. Only some substances can leave and only some may enter. The third process is the permeability of the cell. The cell is semi-permeable so it will only let in some of the substances that try to enter the cell.
14181	The  processes that the cel uses to control the movemetn of substances across the cell membrane is by having the rule of high concentration to low concentration, and also low concentration to high concentration. If a substance is trying to move across the cell membrane then that substance will have to be able to move for low to high, or high to low concentrations.
14182	difusion. facillitated difusion. osmosis.
14183	Cells have protein channels that direct the movement of substances in and out of the cell. Osmosis is the process in which outside substances can penetrate through cell membrane. Diffusion is the process of substances moving on a gradient from high to low.
14184	ingulf or eating food, absorbtion asorbing, waste removal
14185	There are a few processes used by cells to control the movement of the substances across the cell. Three examples include homeostasis, diffusion, and meiosis.
14186	The cells membrane only allows certain objects to enter the cell.They also use the nuclei to help kind of filter what goes across and into the cell. The other things they use is a cell wall, of course only in plant cells.
14187	Cells use many things to move things. Defusion is one way, another would osmoses, and i do not know a third. so yes.
14188	Useing organelles.
14189	1. They are connected to the membrane so that they can controll movement.2. they are feeding the membrane, giving it nutrients and such to make it work better.3.there is a thick gell that allows only the movement of substances pass through.
14190	One process used by cells is energy that functions the cell membrane.The second process used by cells is the cell wall keeping the cell membrane protected.The third process used by cells is the nucleus control everything to keep the movement on track.
14191	They use the cell membrane to transport certain types of things into and outside the cell. They can use the cytoplasm inside to halp also move things. They use proteins to transport thing around the cell.
14192	1. Osmosis, the equilzation of water in and outside the cell.2. Organelles, which prevent unessesary functions.3. The Nucleus, the 'brain' of the cell.
14193	The cells carry subtances along the membrane to other places in the body. They also use their platelets to stop things.
14194	iht obtains sugar nd vacculs
14195	Three processes used by cells to control the movement of substances across the cell membrane are mRNA, enzymes, and lipids. All three of the processes help control movement. MRNA also helps transfer DNA across the membrane to amino acids in protein.
14196	Selective permabilitymitosis
14197	anaphase prophase interphase
14198	Active transport- using energy to move something across the membrane.Inactive transport- No energy needed to move a substance across the membrane.Facillitated diffusion- inactive transport that uses proteins to move a substance across the membrane.
14199	Diffusion is when a liquid is transferred across a membrane.Phagocytosis is when an object is enveloped by the membrane.
14200	Golgi Bodies for packaging waste products. Lysosomes used to eat away at the wastes. ER used to move ribosomes.
14201	Blood clots that way the blood wont get out of control.
14202	1. they block other organisms from entering the cell membrane2. they help build a wall to keep things out3. they kill off bad organisms
14203	1)protein channells only allow certain things through.     2)the cell membrane only aloows in small things.     3)active transport
14204	1. the cells only let certain cells in 2. they use little holes in the outer layer to let substances in.3. they fight off any bacteria or anything they dont want on the cells membrane
14205	OsmosisExocytosisDiffusion
14206	Photosynethsis helps a plant survive.Cell splilting to make two cells.Breathing.
14207	The cell membrane moves substances near the nucleaus. As new cells form, the membrane starts to multiply as the cells do.
14208	One prcess is the use of the semi-permeable membrane which regulates what goes in and out of the cell. Another one is osmosis which regulates what water moleucles can go in and out of the cell. in plants their cell wall controls what can get into the cell membrane by acting as a barrier from outside organisms.
14209	1the flagellum2.
14210	1.Sliava2.Sweat3.waste
14211	ossmosis, nuclues,photosinthisis
14212	1. Active transport- help ot go from cell to cell and get it's protein2. Inactive transport-does not help it get it's protein adn reproduce3.Diffusion-uses energy to help the plants/cells grow.
14213	They transfer the DNA. They store proteins. And collect enzymes. They do all of that so that the cell can function.
14214	Three processes used by cells to control the movement of substances across the cell membrane are flagenal, bristles, and rebosomes.
14215	The proteins control what gets in and out of the cell membrane.If something is too big to get through the membrane it can stretch to make room. Polar heads face out inside and outside of the cell membrane because there is water on both sides. Non-polar tails are smooshed in between the polar heads so they don't touch water.
14216	three processes used by the calls to control the movement of substances across the cell membrane are cellular resparation, photosynthesis, and cell division.
14217	one process used by cells to control movement of substances across the cell membrans is the cell wall. another processes but wich cells use to control the substances that cross the cell membranes are the phospholipids that line that cell wall these help keep unwanted thing out as well. lastly one last process used by cells to control the movment of substances across the cell membrans are membranes thar act as little doors that open and close to let thing inside.
14218	Active TransportFacilated Diffusion   Simple Diffusion
14219	Osmosis is the movement of water across the cell membrane. Diffusion is another type of movement process used by the cell. Neither of these require energy for the cell to use. Active transport, on the other hand, is a process of movement which does require energy.
14220	The purpose of the membrane is to help pass over the stuff your  body takes in or needs. It separates the good stuff and the bad.
14221	they devide into 2 and multply
14222	difussion- movement of substance across the cell membrane without using energyactive transport- movement of a substance across the cell membrane using energyosmosis- water diffusion
14223	Nucleus, Nucleolis, Golgi Apparatus
14224	1. Cells can use Passive Transports, which is where there is no energy used.2. Cells can use Active Transports, which is where there is energy used.
14225	1. The cell cycle
14226	They have flagella to help them move the substances across the cell membrane. The cell membrane also chooses if the bacteria or substance can enter. Then the cell uses active transport.
14227	The cells send a message to the brain when something is going wrong like if you touch a hot stove the cells send a message saying hey this is hot and your hand then knows to move away.
14228	Diffusion - The cell allows materials to pass through the membrane.Osmosis - The cell allows water to pass through the membrane.
14229	transfusion
14230	1 they are small
14231	the cell membrane controls them by having openings only certain substances can go in, by making a substance that wont allow them to come in and by letting some in
14232	The three processes used by cells to control the movement of substances across the cell membrane are, active, transive transport.
14233	the cells absorb it and carry it to where it has to go. the cell pushes it. the cell flows with it to make it go where it has to go
14234	One is a selectively permeal membrane, which only allows what is neccessary to move across the cell membrane. Another is homeostasis, which keeps everything stabilized. And a last one is osmosis, which allows things to move about the cell membrane.
14235	They've got the cell wall so not everything can come in or out.
14236	Three processes used by cells to move substances across the membrane are Osmosis, Diffusion, and Active Transport. Active transport uses energy to move substances from a low concentration to a high concentration. Diffusion carries substances from a high concentration to a low concentration. Also Osmosis takes water only and moves it from a high concentration to a low concentration.
14237	Osmosis moves water through the cell membrane.
14238	Controlling movement
14239	The three processes used are TRNA, DNA, and flagellum to control the movement of substances through the cell membrane.
14240	Cells use
14241	Organelles.
14242	1. the cells allows what goes into the membrane.2. the cells allow what goes out of the membrane.3. it controls how the membrane allows the cell to reproduce.
14243	Well they can move they reproduce and they have some crazy thing called a cell wall.
14244	Osmosis, is the passing of things across a membrane. Meiosis, and Mitosis.
14245	the membrane will split som that certain substances can pass through.
14246	cells use the flagella..
14247	cell wall- it prevents things from coming in and going out.
14248	Ribosomes, Mitochondria, and the nucleus
14249	They have the same cells so they can move from place to place.
14250	One process is active transport which cells do to get proteins.another process is when cells multiple.The last proces is when the cells reproduce.
14251	The cytoplasm moves the ribosome around in the cell. The endoplasmic reticulum moves the ribosomes into the nucleus. The golgi apparatus removes the unwanted substances out of the cell.
14252	protiens entering cell to helpviruses disguising as proteins and entering cellNucleus sending mRNA to get things it needs from outside the cell
14253	MITCHONDRIA-DOUBLE THE CELLCELL WALL - CONTROL WHAT COME IN AND OUT
14254	osmosis - the diffusion of water through celldiffusion - allowing materials through the membrane
14255	transport of substances across the cell membrane diffusionwhich is the process of moving matter and materials from one end to the other.
